"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
neuro_ataxia,subjectparticipant_eligible_studies,,radio,Ataxia,"0, Unchecked | 1, Checked",,,,,,,y,,,neuro_neurodeg_dis,,
essential_tremor,subjectparticipant_eligible_studies,,radio,"Essential Tremor","0, Unchecked | 1, Checked",,,,,,,y,,,neuro_neurodeg_dis,,
huntingtons,subjectparticipant_eligible_studies,,radio,"Huntington's Disease","0, Unchecked | 1, Checked",,,,,,,y,,,neuro_neurodeg_dis,,
parkinsons,subjectparticipant_eligible_studies,,radio,"Parkinson's disease","0, Unchecked | 1, Checked",,,,,,,y,,,neuro_neurodeg_dis,,
alcohol_subst_abuse,subjectparticipant_eligible_studies,"Mood and Psychiatric Disorders",radio,"Alcohol or Substance Use Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
gad,subjectparticipant_eligible_studies,,radio,"Anxiety Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
add_adhd,subjectparticipant_eligible_studies,,radio,"Attention-Deficit / Hyperactivity Disorder (ADHD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
asd,subjectparticipant_eligible_studies,,radio,"Autism Spectrum Disorder (ASD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
bipolar,subjectparticipant_eligible_studies,,radio,"Bipolar Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
bpd,subjectparticipant_eligible_studies,,radio,"Borderline Personality Disorder (BPD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
depression,subjectparticipant_eligible_studies,,radio,"Depression or Major Depressive Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
ed,subjectparticipant_eligible_studies,,radio,"Eating Disorder (ED)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
insomnia,subjectparticipant_eligible_studies,,radio,"Insomnia / Sleep Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
ocd,subjectparticipant_eligible_studies,,radio,"Obsessive-Compulsive Disorder (OCD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
panic,subjectparticipant_eligible_studies,,radio,"Panic Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
ptsd,subjectparticipant_eligible_studies,,radio,"Post-Traumatic Stress Disorder (PTSD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
schizophrenia,subjectparticipant_eligible_studies,,radio,Schizophrenia,"0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
soc_anx_dis,subjectparticipant_eligible_studies,,radio,"Social Anxiety Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
other_psych,subjectparticipant_eligible_studies,,radio,"Other Psychiatric Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
asthma,subjectparticipant_eligible_studies,"Respiratory disorders",radio,Asthma,"0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
airway_stenosis,subjectparticipant_eligible_studies,,radio,"Airway Stenosis (for example: bilateral vocal fold paralysis; laryngeal stenosis)","0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
chronic_cough,subjectparticipant_eligible_studies,,radio,"Chronic Cough","0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
copd,subjectparticipant_eligible_studies,,radio,COPD,"0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
osa,subjectparticipant_eligible_studies,,radio,"Obstructive Sleep Apnea (OSA)","0, Unchecked | 1, Checked",,,,,,,y,,,resp_dis,,
autism,subjectparticipant_eligible_studies,"Pediatric disorders
",radio,"Autism Spectrum Disorder (ASD)","0, Unchecked | 1, Checked",,,,,,,y,,,peds_dis,,
speech_delay,subjectparticipant_eligible_studies,,radio,"Speech Delay","0, Unchecked | 1, Checked",,,,,,,y,,,peds_dis,,
exclude_participant,data_dissemination,,radio,"Exclude Participant and their data from Bridge2AI Data Dissemination?","yes, Yes | no, No",,,,,,,y,,,,,
exclude_reason,data_dissemination,,checkbox,"Check all that apply","missing_consent, Re-consent required | incomplete_data_collection_acoustic_tasks, Incomplete Data Collection - Acoustic Tasks | incomplete_data_collection_questionnaire_tasks, Incomplete Data Collection - Questionnaire Tasks | missing_diagnosis, Missing Diagnosis | participant_lost_to_follow_up, Participant lost to follow up | participant_withdrew, Participant withdrew from Study | participant_removed_from_eligibility, Participant removed from Eligibility | feasibility_participant, Feasibility Participant | other, Other",,,,,,"[exclude_participant] = 'yes'",y,,,,,
exclude_reason_other,data_dissemination,,text,"Please specify:",,,,,,,"[exclude_reason(other)] = '1'",y,,,,,
exclusion_date,data_dissemination,,text,"Date Data Exclusion was requested",,,date_mdy,,,,"[exclude_participant] = 'yes'",y,,,,,
inclusion_date,data_dissemination,,text,"Date Data Inclusion was requested",,,date_mdy,,,,"[exclude_participant] = 'no'",y,,,,,
ef_select_language,enrollment_form,"Select a language",radio,"Select a language","1, English | 2, Français | 3, Español",,,,,,,y,,,,,
ef_any_vision_related_req,enrollment_form,"Let's customize your experience",yesno,"This application requires you to read text to answer questions. Do you have any vision-related requirements we can assist with?",,,,,,,,y,,,,,
ef_vision_a11y_options,enrollment_form,,checkbox,"Yes, I would like to use some of the accessibility features of the app","1, I would like to change the font size | 2, I would like to change the font color (high contrast mode) | 3, I would like to use a screen reader | 4, I would like a person to read the text to me",,,,,,"[ef_any_vision_related_req] = '1'",,,,,,
ef_any_hearing_related_req,enrollment_form,,yesno,"This application may present some sound files for you to listen to. Do you have any hearing-related requirements we can assist with?",,,,,,,,y,,,,,
ef_hearing_a11y_options,enrollment_form,,checkbox,"Yes, I would like to use some of the accessibility features of the app","1, I would like to turn up the volume | 2, I would like to turn on closed captions | 3, I would like to use haptic feedback (vibrations) instead of audio cues",,,,,,"[ef_any_hearing_related_req] = '1'",,,,,,
ef_any_physical_challenges,enrollment_form,,yesno,"This application requires you to navigate through the questions using a touch screen. Do you have any physical challenges we can accommodate?",,,,,,,,y,,,,,
ef_physical_a11y_options,enrollment_form,,checkbox,"Yes, I would like to use some of the accessibility features of the app","1, I would like to increase the size of the buttons | 2, I have an alternative keyboard I'd like to connect instead | 3, I would like to navigate the survey using voice commands instead of the touch screen",,,,,,"[ef_any_physical_challenges] = '1'",,,,,,
ef_any_cognitive_challeges,enrollment_form,,yesno,"This application requires you to read text, answer questions, and follow directions. Do you have any cognitive challenges, including difficulty reading, that we can assist with?",,,,,,,,y,,,,,
ef_cognitive_a11y_options,enrollment_form,,checkbox,"Yes, I would like to use some of the accessibility features of the app","1, I would like the questions to be read to me using text-to-speech | 2, I would like a person to read the text to me | 3, I would like to speak my answers instead of typing them",,,,,,"[ef_any_cognitive_challeges] = '1'",,,,,,
ef_completed_by,enrollment_form,"Who is participating in completing this survey?
[Deprecated in Protocol v4]",checkbox,"Check all that apply","1, Self | 2, Assistant | 3, Parent/Caregiver",,,,,,,,,,,,
ef_primary_language,enrollment_form,"Tell us about yourself",radio,"What is your primary language?","1, English | 2, French | 3, Spanish | 4, Other (Please specify below)",,,,,,,y,,,,,
ef_primary_language_other,enrollment_form,,text,"If primary language is ""other"", please specify:",,,,,,,"[ef_primary_language] = '4'",,,,,,
ef_fluent_languages,enrollment_form,,checkbox,"Do you speak any additional language(s) fluently (similar to a native speaker)?","1, None | 2, English | 3, French | 4, Spanish | 5, Other (please specify below)",,,,,,,y,,,,,
ef_fluent_language_other,enrollment_form,,text,"If you speak any other languages fluently, please specify:",,,,,,,"[ef_fluent_languages(5)] = '1'",,,,,,
ef_dob,enrollment_form,,text,"What is your date of birth?",,,date_ymd,,,y,,y,,,,,
ef_cond_prompt,enrollment_form,"Do you have any of these conditions, diagnosed by a clinician?",descriptive,"(Check all that apply if you currently have the condition)",,,,,,,,,,,,,
ef_glottic_insufficiency,enrollment_form,"Voice Disorders",radio,"Glottic Insufficiency / Presbyphonia","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_laryng_cancer,enrollment_form,,radio,"Laryngeal Cancer","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_laryngitis,enrollment_form,,radio,Laryngitis,"0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_benign_cord_lesion,enrollment_form,,radio,"Lesions of the vocal cord (nodule, polyp, cyst)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_mtd,enrollment_form,,radio,"Muscle Tension Dysphonia (MTD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_rrp,enrollment_form,,radio,"Recurrent Laryngeal Papilloma (RRP)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_spas_dys,enrollment_form,,radio,"Spasmodic Dysphonia / Laryngeal Tremor","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_voc_fold_paralysis,enrollment_form,,radio,"Unilateral Vocal Fold Paralysis","0, Unchecked | 1, Checked",,,,,,,y,,,ef_voice_disorders,,
ef_alz_dementia_mci,enrollment_form,"Neurological and Neurodegenerative Disorders",radio,"Alzheimer's, Dementia, or Mild Cognitive Impairment","0, Unchecked | 1, Checked",,,,,,,y,,,ef_neuro_neurodeg_dis,,
ef_als,enrollment_form,,radio,"Amyotrophic Lateral Sclerosis (ALS)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_neuro_neurodeg_dis,,
ef_ataxia,enrollment_form,,radio,Ataxia,"0, Unchecked | 1, Checked",,,,,,,y,,,ef_neuro_neurodeg_dis,,
ef_essential_tremor,enrollment_form,,radio,"Essential Tremor","0, Unchecked | 1, Checked",,,,,,,y,,,ef_neuro_neurodeg_dis,,
ef_huntingtons,enrollment_form,,radio,"Huntington's Disease","0, Unchecked | 1, Checked",,,,,,,y,,,ef_neuro_neurodeg_dis,,
ef_parkinsons,enrollment_form,,radio,"Parkinson's disease","0, Unchecked | 1, Checked",,,,,,,y,,,ef_neuro_neurodeg_dis,,
ef_alcohol_subst_abuse,enrollment_form,"Mood and Psychiatric Disorders",radio,"Alcohol or Substance Use Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_gad,enrollment_form,,radio,"Anxiety Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_add_adhd,enrollment_form,,radio,"Attention-Deficit / Hyperactivity Disorder (ADHD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_asd,enrollment_form,,radio,"Autism Spectrum Disorder (ASD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_bipolar,enrollment_form,,radio,"Bipolar Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_bpd,enrollment_form,,radio,"Borderline Personality Disorder (BPD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_depression,enrollment_form,,radio,"Depression or Major Depressive Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_ed,enrollment_form,,radio,"Eating Disorder (ED)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_insomnia,enrollment_form,,radio,"Insomnia / Sleep Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_ocd,enrollment_form,,radio,"Obsessive-Compulsive Disorder (OCD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_panic,enrollment_form,,radio,"Panic Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_ptsd,enrollment_form,,radio,"Post-Traumatic Stress Disorder (PTSD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_schizophrenia,enrollment_form,,radio,Schizophrenia,"0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_soc_anx_dis,enrollment_form,,radio,"Social Anxiety Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_other_psych,enrollment_form,,radio,"Other Psychiatric Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,ef_mood_psych_dis,,
ef_asthma,enrollment_form,"Respiratory Disorders",radio,Asthma,"0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_airway_stenosis,enrollment_form,,radio,"Airway Stenosis (for example: bilateral vocal fold paralysis; laryngeal stenosis)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_chronic_cough,enrollment_form,,radio,"Chronic Cough","0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_copd,enrollment_form,,radio,COPD,"0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_osa,enrollment_form,,radio,"Obstructive Sleep Apnea (OSA)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_resp_dis,,
ef_autism,enrollment_form,"Pediatric Disorders",radio,"Autism Spectrum Disorder (ASD)","0, Unchecked | 1, Checked",,,,,,,y,,,ef_peds_dis,,
ef_speech_delay,enrollment_form,,radio,"Speech Delay","0, Unchecked | 1, Checked",,,,,,,y,,,ef_peds_dis,,
ef_eligible_studies,enrollment_form,"Eligible Studies",checkbox,"Eligible Studies","1, Voice Disorders | 2, Neurological and Neurodegenerative Disorders | 3, Mood and Psychiatric Disorders | 4, Respiratory Disorders | 5, Pediatric Disorders",,,,,,,y,,,,,
ef_learn_about_this_study,enrollment_form,"How did you learn about this study?",radio,"How did you learn about this study?","physician, Through my physician/provider | flyer, A flyer | social_media, Social Media | bridge2ai_website, Bridge2AI Website | event, At an event | other, Other",,,,,,,,,,,,
ef_learn_about_this_study_event,enrollment_form,,text,"If ""At an event"", please specify:",,,,,,,"[ef_learn_about_this_study] = 'event'",,,,,,
ef_learn_about_this_study_other,enrollment_form,,text,"If ""Other"", please specify:",,,,,,,"[ef_learn_about_this_study] = 'other'",,,,,,
ef_participant_study_id,enrollment_form,"Contact Information",text,"Participant Study ID",,,,,,y,,,,,,,
ef_first_name,enrollment_form,,text,"First Name",,,,,,y,,,,,,,
ef_last_name,enrollment_form,,text,"Last Name",,,,,,y,,,,,,,
ef_phone_number,enrollment_form,,text,"Phone Number",,###-###-####,phone,,,y,,,,,,,
ef_email,enrollment_form,,text,Email,,,email,,,y,,,,,,,
ef_contact_info_stored,enrollment_form,,yesno,"[DEPRECATED] I want my contact information to be kept in a repository for this study which can be used to contact me to ask me to enroll in further studies or return important results. My information will not be shared with third parties.",,,,,,,,,,,,,
ef_enrollment,enrollment_form,"Review and Enroll",radio,"Please review your answers reading all the way through the bottom and select an option. If you have any questions, you can still proceed with enrollment and ask or make changes at a later time.","Enroll, Enroll | Decline, Decline",,,,,,,y,,,,,
ef_remote_collection_agreement_terms,enrollment_form,,checkbox,"I acknowledge that:","ef_confirmed_clinical_diagnosis, I have a confirmed clinical diagnosis and proof of a disorder that qualifies me to participate in this study. | ef_agree_video_camera, I will need to have a video camera turned on during any interactions with the research team.",,,,,,,,,,,," @READONLY"
ef_is_control_participant,enrollment_form,,radio,"Is Control Participant?","yes, Yes | no, No",,,,,,,y,,,,,
ef_reason_decline_enroll,enrollment_form,,radio,"Please select a reason for declining","1, I am not interested in having my voice recorded | 2, I do not have enough time today and want to be contacted later | 3, I do not have enough time and do not want to be contacted later | 4, I prefer not to share any health information for research | 5, Other (Please specify)",,,,,,"[ef_enrollment]=""Decline""",y,,,,,
ef_other_reason_decline,enrollment_form,,text,"If ""Other"" reason for declining enrollment, please specify:",,,,,,y,"[ef_reason_decline_enroll]=""5""",,,,,,
ef_enrollment_institution,enrollment_form,,radio,"Enrollment Institution","mit, MIT | mt_sinai, Mt. Sinai | sickkids, SickKids | usf, USF | vumc, VUMC | wcm, WCM",,,,,,,,,,,,
ef_researcher_email,enrollment_form,,text,"Researcher Email",,,email,,,y,,,,,,,
ef_enrollment_origin,enrollment_form,,radio,"Enrollment Origin","app, Bridge2AI App | website, Bridge2AI Web App | reproschema, Bridge2AI Reproschema",,,,,,,y,,,,,
ef_enrollment_via,enrollment_form,,radio,"Enrollment via","dataCollector, Data Collector | participant, Participant",,,,,,,y,,,,,
ef_started_at,enrollment_form,"Enrollment Form - Metadata",text,"Enrollment Form Started At",,,,,,y,,,,,,," @READONLY"
ef_completed_at,enrollment_form,,text,"Enrollment Form Completed At",,,,,,y,,,,,,," @READONLY"
ef_duration,enrollment_form,,text,"Enrollment Form Duration (seconds)",,,number,0,,,,,,,,," @READONLY"
is_prolific,prolific_information,"Prolific Details",radio,"Is Prolific:","yes, Yes | no, No",,,,,,,,,,,,
prolific_id,prolific_information,,text,"Prolific Id:",,,,,,,,,,,,,
show_prolific_study_id,prolific_information,,radio,"Show Prolific Study Id:","yes, Yes | no, No",,,,,,,,,,,,
paper_consent_notes,bridge2ai_paper_consent_all_sites_english,"Paper Consent Form for all Sites",descriptive,"Fill out Instructions
1. Upload the .pdf of the paper consent.
2. Select the Enrollment Institution.
3. Paper Consent Uploaded By is automatically calculated
4. Once all the fields are entered mark this form as ""Complete""

If uploading a paper consent form instead of eConsent, navigate to Form ""Subject/Participant - Basic Information"" and update Consent Status to ""Consented""",,,,,,,,,,,,,
paper_consent_pdf_all_sites,bridge2ai_paper_consent_all_sites_english,,file,"Paper Consent PDF - All Sites",,,,,,y,,y,,,,,
paper_consent_enrollment_institution,bridge2ai_paper_consent_all_sites_english,,dropdown,"Enrollment Institution","bch, BCH | mit, MIT | mt_sinai, Mt. Sinai | sickkids, SickKids | usf, USF | vumc, VUMC | wcm, WCM",,,,,,,y,,,,,
paper_consent_uploaded_by,bridge2ai_paper_consent_all_sites_english,,text,"Paper Consent Uploaded By",,,,,,y,,y,,,,," @USERNAME
@READONLY"
usf_icf_p1_en,bridge2ai_econsent_usf_english," ",descriptive,,,,,,,,,,,,,,
usf_icf_p2_en,bridge2ai_econsent_usf_english,,descriptive,,,,,,,,,,,,,,
usf_icf_p3_en,bridge2ai_econsent_usf_english,,descriptive,,,,,,,,,,,,,,
usf_icf_p4_en,bridge2ai_econsent_usf_english,,descriptive,,,,,,,,,,,,,,
usf_icf_p5_en,bridge2ai_econsent_usf_english,,descriptive,,,,,,,,,,,,,,
usf_icf_p6_en,bridge2ai_econsent_usf_english,,descriptive,,,,,,,,,,,,,,
usf_icf_p7_en,bridge2ai_econsent_usf_english,,descriptive,,,,,,,,,,,,,,
usf_icf_p8_en,bridge2ai_econsent_usf_english,,descriptive,,,,,,,,,,,,,,
usf_icf_question_en,bridge2ai_econsent_usf_english,,radio,"<div class=""rich-text-field-label""><p>Consent to Take Part in Research</p> <p class=""p1""><span style=""font-weight: normal;"">I freely give my consent to take part in this study. I understand that by signing this form I am agreeing </span><span style=""font-weight: normal;"">to take part in research. I have received a copy of this form to take with me. I understand that by signing </span><span style=""font-weight: normal;"">below, I am consenting for my contact information to be kept in a repository for this study, and that this </span><span style=""font-weight: normal;"">information may be used to contact me in the future for further data collection if long-term follow-up is </span><span style=""font-weight: normal;"">required as part of an eventual extension of this grant after the expected 4-year duration, or to be invited </span><span style=""font-weight: normal;"">to participate in future research studies. My information will not be shared with third parties.</span></p> <p class=""p1""><span style=""font-weight: normal;"">I consent to having all data I submit shared with the researchers of this study and to having my audio </span><span style=""font-weight: normal;"">recordings, written responses, and other coded research data shared with other qualified researchers as </span><span style=""font-weight: normal;"">described in this consent form. I further consent to the public sharing of my de-identified and aggregated </span><span style=""font-weight: normal;"">study data.</span></p> <p class=""p1""><span style=""font-weight: normal;"">I would like to be informed of incidental findings, should the study report this type of information.</span></p></div>","yes, Yes | no, No",,,,,y,,y,LV,,,,
usf_icf_signature_en,bridge2ai_econsent_usf_english,,file,"Signature of Person Taking Part in Study
[Authorization]


",,,signature,,,y,,y,,,,," @READONLY-FORM"
usf_icf_date_en,bridge2ai_econsent_usf_english,,text,Date,,,date_ymd,,,y,,y,,,,," @READONLY-FORM"
usf_icf_name_en,bridge2ai_econsent_usf_english,,text,"Printed Name of Person Taking Part in Study",,,,,,y,,y,,,,," @READONLY-FORM"
usf_icf_hipaa_en_p1,bridge2ai_econsent_usf_english," ",descriptive,,,,,,,,,,,,,,
usf_icf_hipaa_en_p2,bridge2ai_econsent_usf_english,,descriptive,,,,,,,,,,,,,,
usf_icf_hipaa_en_p3,bridge2ai_econsent_usf_english,,descriptive,,,,,,,,,,,,,,
usf_icf_hipaa_signature_en,bridge2ai_econsent_usf_english,,file,"Signature of Person Taking Part in Study  (or Their Parent)
[Authorization]


",,,signature,,,y,,y,,,,," @READONLY-FORM"
usf_icf_hipaa_date_en,bridge2ai_econsent_usf_english,,text,Date,,,date_ymd,,,y,,y,,,,," @READONLY-FORM"
usf_icf_hipaa_name_en,bridge2ai_econsent_usf_english,,text,"Printed Name of Person Taking Part in Study (or Their Parent)",,,,,,y,,y,,,,," @READONLY-FORM"
usf_icf_p1_en_v3,bridge2ai_econsent_usf_english_version_3," ",descriptive,,,,,,,,,,,,,,
usf_icf_p2_en_v3,bridge2ai_econsent_usf_english_version_3,,descriptive,,,,,,,,,,,,,,
usf_icf_p3_en_v3,bridge2ai_econsent_usf_english_version_3,,descriptive,,,,,,,,,,,,,,
usf_icf_p4_en_v3,bridge2ai_econsent_usf_english_version_3,,descriptive,,,,,,,,,,,,,,
